session_id,session_status,study_name,date,month,day,year,hour,weekday,birthmonth,birthyear,birthsex,genderidentity,num_002,ethnicityomb,raceomb_002,raceombmulti,D_biep.Thin_Good_all,Mn_RT_all_3467,N_3467,PCT_error_3467,Order,Side_Thin_34,Side_Good_34,Stimuli,pct_300,pct_400,pct_2K,pct_3K,pct_4K,att7,tfat,tthin,comptomost_001,controlyou_001,controlother_001,easytolose_001,iam_001,identfat_001,identthin_001,important_001,mostpref_001,othersay_001,D_biep.Thin_Good_36,D_biep.Thin_Good_47,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,SD_all_3,SD_all_4,SD_all_6,SD_all_7,N_3,N_4,N_5,N_6,N_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,SD_correct_3,SD_correct_4,SD_correct_6,SD_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,myweight_002,myheight_002,countrycit_num,countryres_num,edu,edu_14,occuself,occuselfdetail,politicalid_7,STATE,CountyNo,MSANo,MSAName,religion2014,religionid,iatevaluations001,iatevaluations002,iatevaluations003,broughtwebsite,user_id,previous_session_id,previous_session_schema
2625899734,"",Demo.Weight.0003,2017-01-01T00:29:25Z,1,1,2017,0,1,7,1994,Female,[2],3-5,Not Hispanic or Latino,South Asian,.,0.3877846661022255,885.7833333333333,120,10.833333333333334,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0.8333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,I slightly prefer Thin People to Fat People.,Very warm,Very warm,Moderately heavier,No control,Some control,Somewhat difficult,Moderately overweight,Somewhat similar,Not at all similar,Moderately important,Most people strongly prefer 'thin people' to 'fat people',Very overweight,0.2998130408984798,0.47575629130597125,779.2105263157895,643.45,901.35,919.6,333.3027617559627,257.7693214424926,468.00284243401325,759.5510414813377,20,40,28,20,40,716.7058823529412,634.4473684210526,775.6470588235294,864.4705882352941,283.578420526378,261.478922448406,380.73579112956907,810.7953534458252,2,2,3,6,195 lb :: 89 kg,5 ft 2 in :: 157 cm,India,U.S.A.,7,bachelor's degree,Science,"Science - Life, Physical, Social Science Technicians",strongly liberal,Georgia,089,"Atlanta-Sandy Springs-Marietta, GA MSA","Atlanta-Sandy Springs-Marietta, GA MSA",Hindu,2,,,,.,-1,2625899710,s
2625899738,"",Demo.Weight.0003,2017-01-01T00:30:37Z,1,1,2017,0,1,11,1999,Female,[2],3-5,Not Hispanic or Latino,White,.,0.405512357198086,818.7416666666667,120,7.5,Fat+Good first,Thin left first,Good right first,subset of body figure images,0,0,3.3333333333333335,0.8333333333333334,0,I like Thin People and Fat People equally.,Moderately warm,Neither warm nor cold,About the same,A lot of control,,Moderately difficult,Neither underweight nor overweight,Moderately similar,Somewhat similar,Very important,Most people somewhat prefer 'thin people' to 'fat people',Neither underweight nor overweight,0.3434168237294953,0.46760789066667663,958.05,893.325,770.45,698.65,671.6472660556284,508.88174977730364,378.0286086361302,269.61991766188197,20,40,28,20,40,962.5263157894736,755.3428571428572,696.7894736842105,690.8157894736842,689.7453933172292,337.8321844850629,190.52196693043282,274.4870257617326,1,5,1,2,110 lb :: 50 kg,5 ft 2 in :: 157 cm,Australia,Australia,3,some high school,-999,.,moderately liberal,"","","","",Christian: Protestant or Other,3,,,,.,-1,,""
2625899840,C,Demo.Weight.0003,2017-01-01T01:18:01Z,1,1,2017,1,1,7,1967,Female,[2],0,Not Hispanic or Latino,White,.,1.0848601289710684,1035.6166666666666,120,0,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0,3.3333333333333335,0.8333333333333334,0,I slightly prefer Thin People to Fat People.,Neither warm nor cold,Neither warm nor cold,Slightly thinner,Some control,Some control,Somewhat difficult,Neither underweight nor overweight,Somewhat similar,Moderately similar,Moderately important,Most people strongly prefer 'thin people' to 'fat people',Neither underweight nor overweight,1.431293067462067,0.73842719048007,840.15,789.7,1561.9,1116.125,330.8584170083378,440.85128604809177,371.9017838651829,383.19996704539227,20,40,28,20,40,840.15,789.7,1561.9,1116.125,330.8584170083378,440.85128604809177,371.9017838651829,383.19996704539227,0,0,0,0,135 lb :: 61 kg,5 ft 5 in :: 165 cm,U.S.A.,U.S.A.,9,master's degree,Education,"Education - Other education, training, and library occupations",neutral,Pennsylvania,133,"York-Hanover, PA MSA","York-Hanover, PA MSA",Christian: Protestant or Other,4,Very,Slightly,Moderately,Other,-1,,""
2625899909,"",Demo.Weight.0003,2017-01-01T01:50:01Z,1,1,2017,1,1,8,2000,Female,[2],0,Not Hispanic or Latino,White,.,1.1068076417151627,965.1,120,18.333333333333332,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0,4.166666666666667,0,0,I like Thin People and Fat People equally.,Neither warm nor cold,Neither warm nor cold,Slightly heavier,Some control,Some control,Very easy,Neither underweight nor overweight,Somewhat similar,Somewhat similar,Very important,Most people strongly prefer 'thin people' to 'fat people',Neither underweight nor overweight,1.4381092862443474,0.775505997185978,800.05,708.9,1557.8,1007.475,297.8691826960285,179.32934892151755,423.0196710618351,471.57782007280133,20,40,28,20,40,800.05,677.8648648648649,1540.7777777777778,909.78125,297.8691826960285,141.8589209512516,507.2047855101965,458.99460495634617,0,3,11,8,160 lb :: 73 kg,5 ft 7 in :: 170 cm,U.S.A.,U.S.A.,3,some high school,-999,.,slightly liberal,West Virginia,079,"Charleston, WV MSA","Charleston, WV MSA",Christian: Protestant or Other,3,,,,.,-1,,""
2625899947,C,Demo.Weight.0003,2017-01-01T02:05:55Z,1,1,2017,2,1,7,1984,Male,[1],1,Not Hispanic or Latino,White,.,0.4590523751645345,1221.075,120,3.3333333333333335,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0.8333333333333334,15,7.5,3.3333333333333335,I moderately prefer Thin People to Fat People.,Slightly cold,Very warm,Slightly thinner,A lot of control,A lot of control,Somewhat easy,Neither underweight nor overweight,Not at all similar,Very similar,Very important,Most people somewhat prefer 'thin people' to 'fat people',Neither underweight nor overweight,0.7042788288263083,0.2138259215027607,1013.6,957.55,2117.45,1140.15,832.4571997848803,616.3036193971697,1925.6583966338153,1039.3674493997755,20,40,28,20,40,1013.6,948.8974358974359,2132.0588235294117,1140.15,832.4571997848803,621.8940422050161,2094.8479202136677,1039.3674493997755,0,1,3,0,160 lb :: 73 kg,6 ft 1 in :: 185 cm,U.S.A.,U.S.A.,10,J.D.,Legal,"Legal - Lawyers, Judges, and related workers",strongly liberal,District of Columbia,001,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",Not Religious,1,Moderately,Slightly,Not at all,null,-1,2625899916,s
2625899977,"",Demo.Weight.0003,2017-01-01T02:16:26Z,1,1,2017,2,1,1,1996,Male,[1],0,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S.A.,U.S.A.,5,some college,Unemployed,.,slightly liberal,"","","","",Christian: Protestant or Other,2,,,,.,-1,,""
2625899987,C,Demo.Weight.0003,2017-01-01T02:21:16Z,1,1,2017,2,1,2,1987,Male,[1],2,Not Hispanic or Latino,White,.,0.8641941222836248,810.55,120,14.166666666666666,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0,1.6666666666666667,0,0,I strongly prefer Thin People to Fat People,Slightly warm,Very warm,Moderately thinner,A lot of control,A lot of control,Somewhat easy,Slightly underweight,Not at all similar,Extremely similar,Extremely important,Most people somewhat prefer 'thin people' to 'fat people',Slightly underweight,0.915194134435656,0.8131941101315936,643.85,679,877.05,992.2,107.09428949344246,217.50307984851557,305.2563159396585,450.4098532419511,20,40,28,20,40,623.3333333333334,660.9705882352941,801.0588235294117,936.8529411764706,91.43753895097879,227.93971628535817,260.4554833815741,460.1226537633621,2,6,3,6,125 lb :: 57 kg,5 ft 9 in :: 175 cm,U.S.A.,U.S.A.,6,associate's degree,Social Service,"Social Service - Counselors, Social Workers, Community specialists",strongly liberal,Oregon,051,"Portland-Vancouver-Beaverton, OR-WA MSA","Portland-Vancouver-Beaverton, OR-WA MSA",Christian: Protestant or Other,2,Very,Not at all,Not at all,null,-1,9513445,r
2625899988,C,Demo.Weight.0003,2017-01-01T02:21:25Z,1,1,2017,2,1,7,1973,Female,[2],6+,Hispanic or Latino,Other or unknown,.,0.7629850078152511,696.6583333333333,120,3.3333333333333335,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0,0,0,0,I slightly prefer Fat People to Thin People.,Slightly warm,Slightly cold,Moderately heavier,Some control,Some control,Moderately difficult,Very overweight,Very similar,Not at all similar,Moderately important,Most people strongly prefer 'thin people' to 'fat people',Very overweight,0.9160414194092236,0.6099285962212787,585.75,610.25,894.05,739.825,84.30263465945957,125.968606182611,418.77194836431215,258.73349197928525,20,40,28,20,40,585.75,610.25,827.6111111111111,703.2368421052631,84.30263465945957,125.968606182611,369.91543372043185,200.06977623502047,0,0,2,2,250 lb :: 114 kg,5 ft 4 in :: 163 cm,U.S.A.,U.S.A.,9,master's degree,Administrative Support,Administrative Support - Supervisors,strongly liberal,Texas,061,"Brownsville-Harlingen, TX MSA","Brownsville-Harlingen, TX MSA",Other Religion,3,Moderately,Extremely,Slightly,Assignment for work,-1,2625899967,s
2625899989,C,Demo.Weight.0003,2017-01-01T02:21:45Z,1,1,2017,2,1,5,1990,Male,[1],1,Not Hispanic or Latino,White,.,0.6609796284087788,797.1166666666667,120,4.166666666666667,Thin+Good first,Thin right first,Good right first,subset of body figure images,0,0.8333333333333334,2.5,0,0,I slightly prefer Thin People to Fat People.,Slightly cold,Neither warm nor cold,Slightly heavier,A lot of control,A lot of control,Very easy,Slightly overweight,Moderately similar,Moderately similar,Moderately important,Most people slightly prefer 'thin people' to 'fat people',Slightly overweight,0.8873975948746534,0.4345616619429042,671.7,722.7,946.5,859.55,190.5054495697944,283.8784680376175,347.5636253755714,332.7082305364066,20,40,28,20,40,659.7368421052631,686.3846153846154,948.9473684210526,857.9736842105264,187.848887881623,169.018313455675,356.9105822789373,341.1248076934563,1,1,1,2,205 lb :: 93 kg,5 ft 10 in :: 178 cm,U.S.A.,U.S.A.,7,bachelor's degree,Science,Science - Physical scientists,moderately liberal,California,059,"Los Angeles-Long Beach-Santa Ana, CA MSA","Los Angeles-Long Beach-Santa Ana, CA MSA",Not Religious,1,,,,null,-1,,""
2625900057,"",Demo.Weight.0003,2017-01-01T03:02:55Z,1,1,2017,3,1,1,2000,Female,[2],0,,Multiracial,"[3,6]",,,,,,,,,,,,,,I like Thin People and Fat People equally.,Extremely warm,Somewhat warm,About the same,A lot of control,A lot of control,Moderately easy,Slightly underweight,Extremely similar,Very similar,Extremely important,Most people slightly prefer 'fat people' to 'thin people',Slightly underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 lb :: 50 kg,5 ft 4 in :: 163 cm,U.S.A.,U.S.A.,,,-999,.,slightly conservative,"","","","",Christian: Catholic or Orthodox,4,,,,.,-1,,""
